,NetID,FlowID,runTimeLUDB(ns)
194,3, 78,6824119941
2712,24, 137,6852658755
1268,12, 154,6860915491
1690,17, 35,6870208184
3042,27, 373,6880751802
1796,17, 67,6887484805
2591,24, 376,6917705430
2433,24, 321,6927572082
4015,31, 15,6941915579
1128,12, 112,6948412431
1490,13, 161,6961690281
3189,27, 253,6987946687
4067,31, 35,6993662946
2483,24, 324,7010056356
3255,27, 426,7022187171
2464,24, 59,7035339903
1031,10, 168,7057701621
785,10, 399,7063182839
781,10, 93,7096877207
368,8, 194,7147770775
2692,24, 81,7154492140
4232,32, 29,7164882940
1440,13, 211,7181697050
2343,24, 99,7201547977
1984,18, 119,7214554633
2062,18, 11,7221915727
1519,13, 46,7227511497
794,10, 331,7234503237
2716,24, 42,7243176171
2105,18, 131,7256112359
1151,12, 141,7270556122
4113,31, 20,7278333516
2191,19, 12,7295151947
3500,28, 194,7337130368
974,10, 166,7361575131
3418,28, 295,7398481168
646,9, 42,7413222629
273,3, 88,7420721130
2434,24, 375,7433343737
2082,18, 140,7446684534
4326,32, 91,7471660118
1751,17, 44,7484088690
2176,19, 38,7516000886
674,10, 176,7530437394
1375,13, 41,7580231102
1414,13, 28,7620142393
468,8, 94,7673641615
1515,13, 106,7677434998
2384,24, 252,7693940908
59,3, 47,7702255318
1525,13, 187,7710997992
2648,24, 322,7722637418
1930,17, 178,7755712706
2024,18, 126,7773622164
656,10, 238,7783805260
1688,17, 17,7784519231
2364,24, 208,7825010424
3368,28, 115,7845535472
499,8, 75,7879819848
4291,32, 45,7906399359
2627,24, 397,7915679897
924,10, 363,7932607118
837,10, 4,7949972051
3701,28, 59,7973986492
3458,28, 283,7983277051
2362,24, 423,7985898567
4153,32, 195,7998265931
1361,13, 98,8011877667
2750,24, 44,8029901154
215,3, 24,8039802555
3366,28, 193,8069145202
617,9, 33,8101698712
4257,32, 155,8134745377
143,3, 68,8139765417
1472,13, 165,8164575695
1737,17, 270,8211477979
2125,18, 46,8230753277
1294,12, 167,8261224499
186,3, 30,8296228846
1834,17, 182,8326139568
1782,17, 55,8345051686
2695,24, 9,8372468977
988,10, 206,8386685063
3506,28, 172,8419824792
4122,32, 186,8458766140
3058,27, 313,8463594369
3160,27, 309,8493748652
3895,30, 93,8509698869
3993,30, 96,8523059069
3559,28, 222,8525141597
3024,27, 36,8555046302
2213,19, 41,8567089298
2060,18, 0,8583437682
4258,32, 84,8596472978
2301,19, 64,8621871233
230,3, 155,8652623572
432,8, 0,8659441327
3091,27, 311,8684494625
962,10, 377,8687257648
1334,13, 145,8699873498
3816,29, 11,8728747000
1977,18, 112,8732776090
4245,32, 204,8747138676
4292,32, 56,8784864875
2064,18, 51,8795014225
4159,32, 139,8832848186
551,8, 62,8848681008
3688,28, 276,8874452384
871,10, 27,8906816587
3181,27, 78,8940451717
697,10, 295,8967474803
2455,24, 332,8995699768
1916,17, 262,9009887323
1876,17, 227,9055781020
2706,24, 154,9062492686
2353,24, 48,9096040018
3487,28, 317,9126644729
1277,12, 187,9130678037
3365,28, 339,9152353131
1280,12, 151,9170024825
1684,17, 237,9191375128
1241,12, 56,9204711975
2748,24, 338,9227138621
4359,32, 126,9256289979
1529,13, 218,9257962123
1113,12, 45,9274367701
3445,28, 187,9287073383
895,10, 365,9304017357
1543,13, 127,9314891372
4469,34, 96,9339077357
3632,28, 270,9350746401
1447,13, 162,9367971411
959,10, 327,9381077172
3916,30, 100,9398985933
1774,17, 110,9447833338
3888,29, 108,9471782561
1686,17, 163,9515180894
1155,12, 52,9523955771
4393,34, 53,9540517128
3234,27, 270,9549087887
1925,17, 125,9567049676
4230,32, 92,9606199271
2690,24, 160,9629364684
1843,17, 254,9645826701
3430,28, 33,9670822007
