,NetID,FlowID,runTimeLUDB(ns)
1850,17, 129,7235586572
1485,13, 104,7246741354
2032,18, 118,7267961337
3879,29, 53,7272046792
786,10, 9,7292885647
2151,18, 144,7296725487
4283,32, 23,7343396504
855,10, 61,7371270946
1135,12, 18,7398679927
2522,24, 224,7415320464
395,8, 255,7429699558
821,10, 85,7443204686
4167,32, 107,7469947297
682,10, 167,7479146995
1360,13, 70,7485111052
2017,18, 183,7528969690
2404,24, 19,7533115241
3456,28, 351,7614280559
1308,13, 37,7659936219
493,8, 240,7674031121
2472,24, 419,7684065913
1842,17, 4,7697087826
2118,18, 7,7703647858
585,8, 122,7719572630
2371,24, 370,7732066864
3585,28, 269,7758795963
2367,24, 367,7774490140
2305,19, 27,7784231737
2008,18, 138,7788782307
2606,24, 255,7834045793
4177,32, 136,7868198454
2531,24, 61,7889900267
789,10, 183,7912880359
1229,12, 80,7925659558
3556,28, 307,7943570647
1929,17, 22,7963193272
488,8, 244,7979891558
2686,24, 361,7984218320
1742,17, 209,7991000817
3828,29, 99,8003231316
3452,28, 254,8016714391
957,10, 366,8032518673
1226,12, 5,8043832797
2615,24, 1,8091534048
380,8, 38,8109561496
1351,13, 141,8137635981
1191,12, 72,8144096087
2408,24, 53,8171413385
1994,18, 38,8214025399
2493,24, 172,8243073461
1388,13, 207,8291387515
4147,32, 121,8299627887
4158,32, 148,8329105906
1524,13, 130,8368115847
4169,32, 165,8383018622
1539,13, 91,8402979596
79,3, 112,8445349165
2395,24, 217,8460591289
247,3, 73,8466536399
1429,13, 149,8502714668
2496,24, 304,8512623340
2423,24, 241,8523644938
1820,17, 112,8525188763
1119,12, 92,8565638525
2273,19, 8,8576543234
1534,13, 75,8587518815
4358,32, 163,8597457221
2152,18, 43,8644564823
1697,17, 220,8657160249
2607,24, 103,8660170991
3694,28, 141,8686028727
91,3, 16,8690591510
2548,24, 336,8703660021
1727,17, 174,8731714979
3331,28, 132,8738359216
1352,13, 135,8751381615
